roster_id,team,rb_depth,wr_depth,te_depth,qb_depth,trade_need_score
1,1,3,4,2,0,-1
1,2,3,4,2,0,-1
2,1,4,3,2,0,1
2,2,4,3,1,0,1
3,1,4,3,2,0,1
3,2,4,5,1,0,-1
4,1,2,5,0,0,-3
4,2,2,5,2,0,-3
5,1,3,4,2,0,-1
5,2,4,4,2,0,0
6,1,3,4,0,0,-1
6,2,5,4,2,0,1
7,1,3,5,2,0,-2
7,2,5,4,2,0,1
8,1,2,5,2,0,-3
8,2,5,4,2,0,1
9,1,3,5,0,0,-2
9,2,5,4,2,0,1
10,1,4,2,1,0,2
10,2,2,4,2,0,-2
11,1,3,5,1,0,-2
11,2,4,4,2,0,0
12,1,4,2,2,0,2
12,2,4,4,2,0,0
13,1,5,2,1,0,3
13,2,4,4,3,0,0
14,1,3,5,2,0,-2
14,2,3,5,2,0,-2
15,1,3,4,2,0,-1
15,2,2,4,1,0,-2
16,1,5,2,2,0,3
16,2,3,5,1,0,-2
17,1,5,3,2,0,2
17,2,4,4,2,0,0
18,1,3,4,2,0,-1
18,2,4,3,2,0,1
19,1,4,4,2,0,0
19,2,5,3,2,0,2
20,1,4,5,2,0,-1
20,2,3,3,0,0,0
21,1,3,4,3,0,-1
21,2,3,5,1,0,-2
22,1,3,5,2,0,-2
22,2,3,5,2,0,-2
23,1,1,4,2,0,-3
23,2,3,4,1,0,-1
24,1,3,5,2,0,-2
24,2,4,4,1,0,0
25,1,2,4,2,0,-2
25,2,3,4,1,0,-1
26,1,2,4,2,0,-2
26,2,2,3,2,0,-1
27,1,2,0,2,0,2
27,2,3,3,2,0,0
28,1,3,4,2,0,-1
28,2,3,2,2,0,1
29,1,4,5,2,0,-1
29,2,3,4,2,0,-1
30,1,4,4,3,0,0
30,2,2,4,2,0,-2
31,1,4,5,2,0,-1
31,2,4,5,1,0,-1
32,1,2,4,2,0,-2
32,2,3,3,3,0,0
33,1,3,5,2,0,-2
33,2,3,4,3,0,-1
34,1,3,4,2,0,-1
34,2,2,4,2,0,-2
35,1,4,3,3,0,1
35,2,3,4,2,0,-1
36,1,2,5,2,0,-3
36,2,4,3,2,0,1
37,1,5,4,2,0,1
37,2,4,3,2,0,1
38,1,4,4,2,0,0
38,2,3,4,2,0,-1
39,1,4,3,1,0,1
39,2,3,3,2,0,0
40,1,1,3,0,0,-2
40,2,5,4,2,0,1
41,1,4,3,1,0,1
41,2,3,5,1,0,-2
42,1,4,4,1,0,0
42,2,3,4,2,0,-1
43,1,3,4,2,0,-1
43,2,4,2,2,0,2
44,1,3,4,2,0,-1
44,2,2,4,3,0,-2
45,1,4,5,2,0,-1
45,2,4,4,3,0,0
46,1,3,5,1,0,-2
46,2,0,4,2,0,-4
47,1,3,4,2,0,-1
47,2,3,4,2,0,-1
48,1,3,5,2,0,-2
48,2,3,4,1,0,-1
49,1,4,5,2,0,-1
49,2,3,5,1,0,-2
50,1,3,4,0,0,-1
50,2,4,4,2,0,0
51,1,4,4,2,0,0
51,2,2,5,2,0,-3
52,1,4,5,1,0,-1
52,2,5,4,1,0,1
53,1,5,3,1,0,2
53,2,2,2,2,0,0
