scenario_id,variant,model,belief_modeling,perspective_taking,consistency,explanation_quality,overall,justification
17,tom_implicit,claude-4.5-sonnet,1,1,2,1,25,"Fails to model B’s perspective: trading away their only healthy dual-threat QB (which they value) leaves them QB-less at 0-8. B might like RB help, but they’re not RB-needy and prioritize dual-threat QBs. All players are healthy, so no injury leverage. The offer is feasible but contextually incoherent for B, making the 0.62 acceptance unlikely. Rationale is generic and ignores roster construction and needs."
3,simulate_opponent,gemini-2.5-pro,2,2,2,1,35,"Notes B’s preference for dual-threat QBs but ignores B already has a Tier 1 QB. Overlooks that A would have no healthy QB post-trade and requests an injured TE despite A’s injury aversion, mislabeling it as a ‘consistent’ TE. Value and roster fit are shaky, and reasoning lacks detail on tiers, playoff schedule, and each team’s true needs. Brief and generic."
0,tom_implicit,gpt-5,1,2,1,2,30,"Proposal ignores B’s preference for pocket passers/possession WRs and their tendency to buy injured players, not sell them. Asking B to trade a Tier 1 QB while thin at TE (and giving up Anderson) is unlikely. A, who avoids injury risk, is targeting a Doubtful TE despite already having a TE1, reducing fit. Rationale is generic and doesn’t address roster contexts, stacks, or schedules. Some minimal two-sided intent is present but poorly aligned."
1,tom_implicit,claude-4.5-sonnet,2,2,2,1,35,"B is conservative and consensus-driven; unlikely to give up a Tier 3 RB with low volatility and a Tier 2 WR for a Tier 5 backup QB and a lower-tier, committee RB with a Q tag. B already has a Tier 1 QB, so Roberts adds little. King matches B’s preferences; Torres doesn’t. Holt’s volatility might make him movable, but not for this downgrade. Rationale is generic and overstates fit; acceptance odds are too high."
9,baseline,gpt-5,1,1,3,2,35,"The rationale is A-centric and ignores B’s conservative, floor-seeking, injury-averse mindset and zero-RB lean. B likely won’t swap a healthy, steady RB (Hernandez, friendly playoffs) for a boom-bust deep-threat WR (Justin Miller) and a questionable, volatile RB (Lucas Thompson). While the value could be plausible, the fit for B’s needs and preferences is poor, and the explanation lacks B-oriented reasoning."
37,baseline,gemini-2.5-pro,1,1,1,1,20,"The proposal only reflects Team A’s needs. Team B is conservative and values workhorse volume and weekly floor; trading Ryan Taylor for an injured committee RB (Mason) and a boom-bust deep threat (Justin) conflicts with their preferences and consensus lean. It ignores B’s TE injury and desire for possession targets. While B has RB depth, the return lacks stability and value, making the offer unrealistic."
34,tom_implicit,gpt-5,2,2,2,2,40,"Identifies B’s desire for stability but ignores B’s strong reliance on expert rankings and urgent need for wins—making a Tier 1 RB for Tier 3 RB swap unlikely. Minimal separation of A vs. B motives beyond a one-line note. The trade is contextually weak: B prefers young ascending players (Marcus Reed) and wouldn’t downgrade that sharply. Rationale is brief and generic, with misplaced emphasis on playoff schedule for a 0-8 team. Acceptance probability is overstated."
0,baseline,claude-4.5-sonnet,1,1,3,2,35,"Offer ignores Team B’s stated preferences (possession WRs, pocket passers, buying injured, and current TE need). It asks B to give up a stable Tier 1 QB (Reed) for a volatile dual-threat (Tyler Lewis) and a deep-threat WR (Torres) that doesn’t fit B’s conservative profile. Rationale is A-centric and thin. Value is somewhat coherent (T1 QB+T3 WR vs T3 QB+T1 WR), but fit is poor; acceptance probability seems overstated."
32,tom_implicit,gemini-2.5-pro,2,2,1,1,30,"Mentions B’s urgency but ignores that Robinson is doubtful and thus not a “win-now” starter. Doesn’t engage B’s stated preferences (consensus rankings, QB/WR stacks, dual-threat QBs) beyond generic claims. Trade logic is incoherent for A: sending a Tier 1 WR (Torres) plus an RB for a Tier 3 WR (Moore) contradicts “consolidating depth.” Rationale is vague and mismatched to player statuses and value. While B might accept due to surplus value, the ToM reasoning is shallow and inconsistent."
25,tom_explicit,claude-4.5-sonnet,3,3,3,3,60,"Good recognition of B’s dual-threat QB preference, zero-RB lean, and reliance on consensus, but it overlooks that B highly values rookies—Cameron Scott (Tier 1 rookie) is exactly the type B would avoid trading. It also overstates B’s QB ‘need’ given Holt’s stability and playoff schedule, and doesn’t leverage B’s injury-buy tendency. Trade is feasible but misaligned with B’s philosophy, likely overestimating acceptance and calling it a zero-RB fit despite sacrificing elite WR capital without WR return."
36,tom_explicit,gpt-5,3,2,3,2,50,"It notes B’s ceiling-chasing and rankings trust and offers a dual-threat QB plus boom WR, aligning with preferences. But it neglects B’s urgent need for wins: trading a Tier 1 workhorse (minor injury) for an Out QB and Doubtful WR hurts short-term outcomes. The explanation is terse and doesn’t engage B’s roster context (RB depth vs QB need) or timeline. Plausible but not well-tailored ToM."
1,baseline,claude-4.5-sonnet,2,1,2,1,30,"Offer asks B to part with a low-volatility RB (Ben King) that fits B’s conservative, floor-focused profile, for two boom/bust rookie WRs—misaligned with B’s stated preferences and consensus. Mislabels King as a workhorse and Baker as a stable TE; Baker doesn’t solve A’s TE need. Rationale centers on A’s upgrade with almost no analysis of B’s incentives. Mechanically feasible, but reasoning is thin and contextually off for B."
8,tom_implicit,gemini-2.5-pro,1,2,1,1,25,"Team B values consistent possession WRs and already has a healthy Tier 2 TE, so Noah Brown isn’t a clear upgrade and swapping out Darian Thomas (their lone low-variance WR) for a deep-threat WR is misaligned. Team A’s ultra-conservative, injury-averse profile conflicts with targeting a Questionable player. Player tiers suggest B downgrades at WR and only makes a lateral TE move, making the 55% acceptance unlikely and the rationale generic."
31,tom_implicit,claude-4.5-sonnet,1,1,1,1,20,"Proposal ignores Team B’s incentives: B values committee RBs with upside and playoff schedules—exactly Derek Foster—so unlikely to sell him. B already has a Tier 1 QB and TE, making a QB4 and WR2 return unappealing. Rationale is generic and factually off (Lucas Flores has tough playoff matchups, not friendly). Value and roster fit are lopsided; 0.62 acceptance probability is unrealistic."
27,simulate_opponent,claude-4.5-sonnet,2,2,1,1,30,"Shallow ToM: it nods to B wanting stability but ignores B’s preference for workhorse RBs, existing Tier-2 QB (no QB need), and that B would be left with no healthy TE. It also misreads A’s injury-cautious profile by targeting a Doubtful TE and calls B’s situation a “playoff push” at 0-8. The rationale is generic and not roster-specific. Overall, low coherence with team profiles and needs."
