You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
James Cook | RB | 14.2
Tank Bigsby | RB | 7.4
Dylan Sampson | RB | 6.0
Chase Brown | RB | 15.4
Travis Etienne Jr. | RB | 10.0
Trey Benson | RB | 7.6
Derrick Henry | RB | 16.2
Tyrone Tracy Jr. | RB | 11.0
Jaxon Smith-Njigba | WR | 13.8
DeVonta Smith | WR | 13.0
Puka Nacua | WR | 16.9
Garrett Wilson | WR | 12.6
Tetairoa McMillan | WR | 12.4
Calvin Ridley | WR | 11.8
Calvin Austin III | WR | 5.5
Jauan Jennings | WR | 12.2
George Kittle | TE | 13.2
Tucker Kraft | TE | 8.8
Jake Ferguson | TE | 8.5
Noah Gray | TE | 5.0
Jared Goff | QB | 16.2
Bo Nix | QB | 18.8
Dak Prescott | QB | 16.4
Geno Smith | QB | 14.4

Team B Roster (name | pos | proj):
Rachaad White | RB | 8.1
Nick Chubb | RB | 4.7
Kenneth Walker III | RB | 13.7
Jordan Mason | RB | 7.4
Tyjae Spears | RB | 7.5
Austin Ekeler | RB | 8.2
Breece Hall | RB | 12.7
David Montgomery | RB | 11.5
Michael Pittman Jr. | WR | 10.3
Jayden Reed | WR | 11.0
Michael Wilson | WR | 6.9
Noah Brown | WR | 4.3
Jalen Coker | WR | 5.0
DJ Moore | WR | 13.1
Jaylen Waddle | WR | 11.7
Mike Evans | WR | 14.6
Hunter Henry | TE | 8.3
Will Dissly | TE | 4.1
Trey McBride | TE | 14.6
Zach Ertz | TE | 8.1
Sam Darnold | QB | 15.3
Matthew Stafford | QB | 15.3
Jayden Daniels | QB | 21.4
Justin Fields | QB | 15.8

Task: First, internally simulate what Team B would accept given its roster, then propose a trade from Team A accordingly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
