You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Jahmyr Gibbs | RB | 17.9
Kaleb Johnson | RB | 10.7
Samaje Perine | RB | 3.5
Elijah Mitchell | RB | 2.7
Derrick Henry | RB | 16.2
Ray Davis | RB | 5.9
Kareem Hunt | RB | 4.8
Raheem Mostert | RB | 3.3
DeVonta Smith | WR | 13.0
Adam Thielen | WR | 9.0
KaVontae Turpin | WR | 4.2
Brandin Cooks | WR | 5.4
Ladd McConkey | WR | 14.6
Cedric Tillman | WR | 8.2
Rashid Shaheed | WR | 9.8
Jalen Coker | WR | 5.0
Kyle Pitts Sr. | TE | 8.0
Dallas Goedert | TE | 9.2
Zach Ertz | TE | 8.1
Tyler Higbee | TE | 6.7
Michael Penix Jr. | QB | 15.2
Jayden Daniels | QB | 21.4
Drake Maye | QB | 17.1
Tua Tagovailoa | QB | 15.5

Team B Roster (name | pos | proj):
Rhamondre Stevenson | RB | 10.3
Kyle Monangai | RB | 2.4
Omarion Hampton | RB | 14.0
Najee Harris | RB | 6.7
James Conner | RB | 14.1
Bijan Robinson | RB | 18.5
Josh Jacobs | RB | 15.5
Bucky Irving | RB | 16.3
Jalen McMillan | WR | 9.2
Zay Flowers | WR | 13.1
Joshua Palmer | WR | 7.6
Chris Olave | WR | 10.9
Rome Odunze | WR | 11.6
Chris Godwin | WR | 4.8
Adonai Mitchell | WR | 5.1
Calvin Austin III | WR | 5.5
Jake Ferguson | TE | 8.5
Ja'Tavion Sanders | TE | 6.0
Evan Engram | TE | 9.7
Mike Gesicki | TE | 7.1
Patrick Mahomes II | QB | 19.9
Justin Fields | QB | 15.8
Justin Herbert | QB | 16.6
Caleb Williams | QB | 16.1

Task: You are the manager of Team A. Your goal is to improve Team A by proposing a mutually beneficial trade with Team B that Team B is likely to accept. Consider what team B needs or might accept. You may offer any players from your own team in exchange for players on Team B's roster. Carefully analyze both teams rosters, including positional strengths and weaknesses. Your trade should consider Team B's perspective which includes their positional needs and likely willingness to accept the trade and also be fair and realistic. Your task is to propose a trade and clearly state which player(s) each team would give and receive. Think step by step through your analysis. After, write a detailed explanation on why the trade benefits both teams, what needs each team is addressing and why Team B is likely to accept the trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
