You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Jordan Mason | RB | 7.4
Kareem Hunt | RB | 4.8
Roschon Johnson | RB | 5.3
Ray Davis | RB | 5.9
Josh Jacobs | RB | 15.5
Dylan Sampson | RB | 6.0
James Cook | RB | 14.2
Tony Pollard | RB | 10.4
Tutu Atwell | WR | 5.6
Puka Nacua | WR | 16.9
George Pickens | WR | 12.1
Curtis Samuel | WR | 4.0
Jaxon Smith-Njigba | WR | 13.8
Tyler Lockett | WR | 6.0
Drake London | WR | 15.2
Dyami Brown | WR | 6.7
Colston Loveland | TE | 7.8
Dallas Goedert | TE | 9.2
Brenton Strange | TE | 7.7
Tyler Warren | TE | 8.2
Trevor Lawrence | QB | 17.9
Jordan Love | QB | 16.3
Jalen Hurts | QB | 22.0
Caleb Williams | QB | 16.1

Team B Roster (name | pos | proj):
D'Andre Swift | RB | 11.4
Nick Chubb | RB | 4.7
Najee Harris | RB | 6.7
Bijan Robinson | RB | 18.5
Blake Corum | RB | 2.4
Kyle Monangai | RB | 2.4
MarShawn Lloyd | RB | 3.3
Jaylen Warren | RB | 11.0
Rashod Bateman | WR | 8.5
Luther Burden III | WR | 7.8
Ray-Ray McCloud III | WR | 5.1
Joshua Palmer | WR | 7.6
Adonai Mitchell | WR | 5.1
Greg Dortch | WR | 3.9
Cooper Kupp | WR | 11.1
Jaylen Waddle | WR | 11.7
George Kittle | TE | 13.2
David Njoku | TE | 10.6
T.J. Hockenson | TE | 10.7
Kyle Pitts Sr. | TE | 8.0
Russell Wilson | QB | 15.4
Lamar Jackson | QB | 21.6
Bo Nix | QB | 18.8
Michael Penix Jr. | QB | 15.2

Task: Propose a mutually beneficial trade. Infer what Team B might value from the rosters; do not state assumptions explicitly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
