You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Woody Marks | RB | 3.3
Jordan Mason | RB | 7.4
Isaac Guerendo | RB | 4.2
Bucky Irving | RB | 16.3
Travis Etienne Jr. | RB | 10.0
De'Von Achane | RB | 17.1
Miles Sanders | RB | 4.0
Blake Corum | RB | 2.4
Xavier Legette | WR | 7.4
Garrett Wilson | WR | 12.6
Luther Burden III | WR | 7.8
Matthew Golden | WR | 11.6
Xavier Worthy | WR | 14.9
Zay Flowers | WR | 13.1
Khalil Shakir | WR | 11.7
Nico Collins | WR | 15.9
Tyler Conklin | TE | 4.9
Mason Taylor | TE | 7.0
Michael Mayer | TE | 4.0
Brenton Strange | TE | 7.7
Caleb Williams | QB | 16.1
Matthew Stafford | QB | 15.3
Dak Prescott | QB | 16.4
Brock Purdy | QB | 17.7

Team B Roster (name | pos | proj):
Kendre Miller | RB | 3.5
Bijan Robinson | RB | 18.5
Will Shipley | RB | 3.7
Kaleb Johnson | RB | 10.7
Elijah Mitchell | RB | 2.7
Tyrone Tracy Jr. | RB | 11.0
Isiah Pacheco | RB | 11.5
Jaylen Warren | RB | 11.0
Jalen Nailor | WR | 6.6
Rome Odunze | WR | 11.6
Keenan Allen | WR | 9.1
Ladd McConkey | WR | 14.6
CeeDee Lamb | WR | 17.4
Greg Dortch | WR | 3.9
Allen Lazard | WR | 4.4
Ja'Marr Chase | WR | 19.5
Jake Ferguson | TE | 8.5
Brock Bowers | TE | 14.4
Evan Engram | TE | 9.7
Will Dissly | TE | 4.1
Jordan Love | QB | 16.3
Jared Goff | QB | 16.2
Patrick Mahomes II | QB | 19.9
Kyler Murray | QB | 18.5

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
