Player,position,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Parker Washington,WR,24,6,144,1,1,1,96,4,0
Rashid Shaheed,WR,15.9,9,143,1,2,2,54,2,1
Braxton Berrios,WR,14.7,7,103,0,2,1,44,12,0
Kalif Raymond,WR,13.8,30,413,1,3,2,90,9,0
Ricky Pearsall,WR,13.7,3,41,0,1,0,20,1,0
Tank Dell,WR,13.6,7,95,0,1,0,23,0,0
Dante Pettis,WR,12.9,7,90,0,2,1,53,11,0
Derius Davis,WR,12.4,19,235,0,2,1,53,22,2
Tyreik McAllister,RB,12,2,24,0,0,0,14,0,0
Tylan Wallace,WR,11.2,6,67,0,1,0,21,12,1
Kameron Johnson,WR,11,1,11,0,0,0,11,1,0
Kadarius Toney,WR,11,4,44,0,0,0,19,1,1
DJ Turner,WR,11,7,77,0,1,0,24,4,0
Deonte Harty,WR,10.6,8,85,0,0,0,16,4,0
Olamide Zaccheaus,WR,10.5,17,179,0,2,0,24,14,3
Maurice Alexander,WR,10.5,4,42,0,1,0,23,3,1
KaVontae Turpin,WR,10.4,18,187,1,3,1,60,19,1
Tyreek Hill,WR,10.3,3,31,0,0,0,18,2,0
Alex Erickson,WR,10.2,4,41,0,1,0,26,3,0
Mecole Hardman,WR,10.2,20,203,0,2,1,55,9,0
Jamison Crowder,WR,10.1,8,81,0,2,0,23,5,2
Josh Downs,WR,10.1,16,161,0,1,0,23,7,0
Jermaine Jackson,WR,9.7,7,68,0,0,0,18,9,0
Jaelon Darden,WR,9.7,32,309,0,1,0,28,12,0
Greg Dortch,WR,9.6,21,202,0,1,0,27,3,1
Robert Woods,WR,9.6,15,144,0,1,0,36,14,0
Anthony Gould,WR,9.5,10,95,0,1,0,36,8,0
Nikko Remigio,WR,9.4,11,104,0,2,0,25,4,1
Ladd McConkey,WR,9.3,3,28,0,0,0,12,8,0
Xavier Smith,WR,9.3,16,149,0,1,0,38,20,0
DeAndre Carter,WR,9.3,17,158,0,2,0,38,9,1
Avery Williams,RB,9.2,20,185,0,1,0,28,18,0
Ameer Abdullah,RB,9.1,10,91,0,0,0,19,7,1
James Proche,WR,9,19,172,0,0,0,18,10,1
Tom Kennedy,WR,9,1,9,0,0,0,9,2,0
Tre Tucker,WR,9,8,72,0,1,0,21,4,0
Devin Duvernay,WR,8.8,19,167,0,2,1,53,16,1
Jacob Cowing,WR,8.8,28,245,0,1,0,30,11,2
Raheem Blackshear,RB,8.5,17,145,0,0,0,16,3,1
Isaiah Williams,WR,8.4,11,93,0,0,0,18,4,0
Xavier Gipson,WR,8.1,33,266,0,3,1,40,16,4
Trey Palmer,WR,8,17,136,0,0,0,17,11,1
Jayden Reed,WR,7.9,14,110,0,0,0,16,30,2
Ihmir Smith-Marsette,WR,7.9,29,228,0,3,0,25,17,1
Jha'Quan Jackson,WR,7.7,28,215,0,1,0,20,7,3
Britain Covey,WR,7.7,6,46,0,0,0,10,5,0
Amon-Ra St. Brown,WR,7.5,2,15,0,0,0,8,1,0
Malik Washington,WR,7.4,18,134,0,0,0,19,3,1
Brandon Powell,WR,7.1,23,164,0,0,0,15,16,1
Charlie Jones,WR,7.1,14,99,0,1,0,23,5,1
Trenton Irwin,WR,7,8,56,0,0,0,17,4,0
David Moore,WR,6.5,2,13,0,0,0,7,6,0
Mason Kinsey,WR,6.3,6,38,0,0,0,9,5,0
Kyren Williams,RB,6,2,12,0,0,0,12,1,0
Steven Sims,WR,5.8,21,122,0,0,0,19,8,2
Jalen McMillan,WR,4,3,12,0,0,0,11,2,0
Deven Thompkins,WR,3.8,5,19,0,0,0,15,0,0
Austin Trammell,WR,3.5,2,7,0,0,0,6,0,1
Diontae Johnson,WR,0,1,0,0,0,0,0,0,0
Jalen Nailor,WR,0,1,0,0,0,0,0,0,1
Darius Slayton,WR,0,1,0,0,0,0,0,1,1
