roster_id,team,prompt_type,prompt_text
1,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
1,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
1,2,ToM,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
1,2,Baseline,"You are the manager of Team 2. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
2,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 2) has: RBs=4, WRs=3, TEs=1, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
2,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 2) has: RBs=4, WRs=3, TEs=1, QBs=0. Their trade need score: 1.
What trade would you propose?"
2,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=3, TEs=1, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
2,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=3, TEs=1, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
3,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 2) has: RBs=4, WRs=5, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
3,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=3, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 2) has: RBs=4, WRs=5, TEs=1, QBs=0. Their trade need score: -1.
What trade would you propose?"
3,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=5, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
3,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=5, TEs=1, QBs=0. Your trade need score: -1.
Your opponent (Team 1) has: RBs=4, WRs=3, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
4,1,ToM,"You are the manager of Team 1. Your roster: RBs=2, WRs=5, TEs=0, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=2, WRs=5, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
4,1,Baseline,"You are the manager of Team 1. Your roster: RBs=2, WRs=5, TEs=0, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=2, WRs=5, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose?"
4,2,ToM,"You are the manager of Team 2. Your roster: RBs=2, WRs=5, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 1) has: RBs=2, WRs=5, TEs=0, QBs=0. Their trade need score: -3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
4,2,Baseline,"You are the manager of Team 2. Your roster: RBs=2, WRs=5, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 1) has: RBs=2, WRs=5, TEs=0, QBs=0. Their trade need score: -3.
What trade would you propose?"
5,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
5,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=2, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=4, WRs=4, TEs=2, QBs=0. Their trade need score: 0.
What trade would you propose?"
5,2,ToM,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
5,2,Baseline,"You are the manager of Team 2. Your roster: RBs=4, WRs=4, TEs=2, QBs=0. Your trade need score: 0.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=2, QBs=0. Their trade need score: -1.
What trade would you propose?"
6,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=0, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
6,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=4, TEs=0, QBs=0. Your trade need score: -1.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
6,2,ToM,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=0, QBs=0. Their trade need score: -1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
6,2,Baseline,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=4, TEs=0, QBs=0. Their trade need score: -1.
What trade would you propose?"
7,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
7,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
7,2,ToM,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
7,2,Baseline,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
8,1,ToM,"You are the manager of Team 1. Your roster: RBs=2, WRs=5, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
8,1,Baseline,"You are the manager of Team 1. Your roster: RBs=2, WRs=5, TEs=2, QBs=0. Your trade need score: -3.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
8,2,ToM,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=2, WRs=5, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
8,2,Baseline,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=2, WRs=5, TEs=2, QBs=0. Their trade need score: -3.
What trade would you propose?"
9,1,ToM,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=0, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
9,1,Baseline,"You are the manager of Team 1. Your roster: RBs=3, WRs=5, TEs=0, QBs=0. Your trade need score: -2.
Your opponent (Team 2) has: RBs=5, WRs=4, TEs=2, QBs=0. Their trade need score: 1.
What trade would you propose?"
9,2,ToM,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=0, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
9,2,Baseline,"You are the manager of Team 2. Your roster: RBs=5, WRs=4, TEs=2, QBs=0. Your trade need score: 1.
Your opponent (Team 1) has: RBs=3, WRs=5, TEs=0, QBs=0. Their trade need score: -2.
What trade would you propose?"
10,1,ToM,"You are the manager of Team 1. Your roster: RBs=4, WRs=2, TEs=1, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
10,1,Baseline,"You are the manager of Team 1. Your roster: RBs=4, WRs=2, TEs=1, QBs=0. Your trade need score: 2.
Your opponent (Team 2) has: RBs=2, WRs=4, TEs=2, QBs=0. Their trade need score: -2.
What trade would you propose?"
10,2,ToM,"You are the manager of Team 2. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=4, WRs=2, TEs=1, QBs=0. Their trade need score: 2.
What trade would you propose, and why? Consider what your opponent needs and what they believe about your needs."
10,2,Baseline,"You are the manager of Team 2. Your roster: RBs=2, WRs=4, TEs=2, QBs=0. Your trade need score: -2.
Your opponent (Team 1) has: RBs=4, WRs=2, TEs=1, QBs=0. Their trade need score: 2.
What trade would you propose?"
