You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
David Montgomery | RB | 11.5
Josh Jacobs | RB | 15.5
Najee Harris | RB | 6.7
Jaydon Blue | RB | 5.3
Bucky Irving | RB | 16.3
Roschon Johnson | RB | 5.3
Cam Skattebo | RB | 7.8
Woody Marks | RB | 3.3
Davante Adams | WR | 13.4
Josh Reynolds | WR | 6.1
Zay Flowers | WR | 13.1
Ricky Pearsall | WR | 11.1
Cedric Tillman | WR | 8.2
Jaylin Noel | WR | 4.8
Jameson Williams | WR | 12.6
Noah Brown | WR | 4.3
Noah Gray | TE | 5.0
Jake Ferguson | TE | 8.5
Brenton Strange | TE | 7.7
Tyler Warren | TE | 8.2
Bryce Young | QB | 15.5
Josh Allen | QB | 21.8
Sam Darnold | QB | 15.3
Drake Maye | QB | 17.1

Team B Roster (name | pos | proj):
Jahmyr Gibbs | RB | 17.9
Isaac Guerendo | RB | 4.2
Javonte Williams | RB | 8.8
Chuba Hubbard | RB | 13.8
Derrick Henry | RB | 16.2
Tony Pollard | RB | 10.4
Kyle Monangai | RB | 2.4
Aaron Jones Sr. | RB | 11.5
Adonai Mitchell | WR | 5.1
Dyami Brown | WR | 6.7
Tetairoa McMillan | WR | 12.4
Terry McLaurin | WR | 14.3
Tyler Lockett | WR | 6.0
CeeDee Lamb | WR | 17.4
Brian Thomas Jr. | WR | 16.0
Jordan Whittington | WR | 4.9
David Njoku | TE | 10.6
Sam LaPorta | TE | 11.2
Hunter Henry | TE | 8.3
Tyler Higbee | TE | 6.7
Brock Purdy | QB | 17.7
Justin Herbert | QB | 16.6
Tua Tagovailoa | QB | 15.5
Caleb Williams | QB | 16.1

Task: Your goal is to improve Team A while proposing a trade that Team B is likely to accept. Explicitly consider Team B's needs and incentives before proposing. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
