player_id,name,position,team,week,career_stage,role_description,archetype_tags,volatility,trend,health_status,adp_band,ecr_tier,trade_interest,bye_week,playoff_schedule,summary_text
qb1_2025,Trey Rodriguez,QB,MIA,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 7-8,Tier 4,Low,7,Friendly playoff schedule,"Healthy Tier 4 QB in high-volume passing offense, slow tempo with steady usage pattern. Friendly playoff schedule."
qb2_2025,Sam Miller,QB,TB,8,rookie,Traditional pocket passer with mid week-to-week variance,pocket_qb,Mid,Down,Out,Round 7-8,Tier 4,Med,7,Tough playoff matchups,"Out with availability unclear Tier 4 QB in mid-volume passing offense, fast tempo with declining role. Tough playoff matchups."
qb3_2025,Trevor Roberts,QB,NO,8,young breakout,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 9-10,Tier 5,Very High,8,Friendly playoff schedule,"Healthy Tier 5 QB in high-volume passing offense, fast tempo with steady usage pattern. Friendly playoff schedule."
qb4_2025,Lucas Hernandez,QB,KC,8,veteran,Dual-threat QB who adds rushing value with mid week-to-week variance,dual_threat_qb,Mid,Down,Healthy,Round 7-8,Tier 2,Low,5,Friendly playoff schedule,"Healthy Tier 2 QB in low-volume passing offense, mid tempo with declining role. Friendly playoff schedule."
qb5_2025,David Nelson,QB,DAL,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Up,Healthy,Round 3-4,Tier 2,High,11,Mixed playoff outlook,"Healthy Tier 2 QB in high-volume passing offense, slow tempo with ascending usage trend. Mixed playoff outlook."
qb6_2025,Noah Hall,QB,MIN,8,veteran,Traditional pocket passer with mid week-to-week variance,pocket_qb,Mid,Flat,Questionable,Round 9-10,Tier 5,Med,4,Mixed playoff outlook,"Minor injury concern Tier 5 QB in mid-volume passing offense, mid tempo with steady usage pattern. Mixed playoff outlook."
qb7_2025,Mason Davis,QB,ATL,8,young breakout,Traditional pocket passer with mid week-to-week variance,pocket_qb,Mid,Down,Healthy,Round 3-4,Tier 2,High,9,Mixed playoff outlook,"Healthy Tier 2 QB in low-volume passing offense, fast tempo with declining role. Mixed playoff outlook."
qb8_2025,Lucas Carter,QB,BAL,8,veteran,Dual-threat QB who adds rushing value with low week-to-week variance,dual_threat_qb,Low,Up,Out,Round 9-10,Tier 5,High,12,Friendly playoff schedule,"Out with availability unclear Tier 5 QB in high-volume passing offense, fast tempo with ascending usage trend. Friendly playoff schedule."
qb9_2025,Lucas Hall,QB,LV,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 11+,Tier 3,Med,7,Mixed playoff outlook,"Healthy Tier 3 QB in low-volume passing offense, fast tempo with steady usage pattern. Mixed playoff outlook."
qb10_2025,Jake Green,QB,CHI,8,young breakout,Dual-threat QB who adds rushing value with mid week-to-week variance,dual_threat_qb,Mid,Flat,Healthy,Round 3-4,Tier 1,High,10,Mixed playoff outlook,"Healthy Tier 1 QB in mid-volume passing offense, slow tempo with steady usage pattern. Mixed playoff outlook."
qb11_2025,Logan Holt,QB,DAL,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 1-2,Tier 2,High,10,Friendly playoff schedule,"Healthy Tier 2 QB in high-volume passing offense, fast tempo with steady usage pattern. Friendly playoff schedule."
qb12_2025,Austin Reed,QB,NE,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 1-2,Tier 1,High,6,Tough playoff matchups,"Healthy Tier 1 QB in high-volume passing offense, mid tempo with steady usage pattern. Tough playoff matchups."
qb13_2025,Alex Nelson,QB,LAR,8,veteran,Traditional pocket passer with mid week-to-week variance,pocket_qb,Mid,Flat,Healthy,Round 5-6,Tier 2,High,4,Tough playoff matchups,"Healthy Tier 2 QB in high-volume passing offense, fast tempo with steady usage pattern. Tough playoff matchups."
qb14_2025,Sam Reed,QB,NYG,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Down,Healthy,Round 3-4,Tier 1,High,5,Mixed playoff outlook,"Healthy Tier 1 QB in low-volume passing offense, fast tempo with declining role. Mixed playoff outlook."
qb15_2025,Ethan Torres,QB,TEN,8,veteran,Dual-threat QB who adds rushing value with mid week-to-week variance,dual_threat_qb,Mid,Down,Healthy,Round 11+,Tier 4,High,8,Tough playoff matchups,"Healthy Tier 4 QB in high-volume passing offense, fast tempo with declining role. Tough playoff matchups."
qb16_2025,Chris Reed,QB,JAX,8,veteran,Dual-threat QB who adds rushing value with low week-to-week variance,dual_threat_qb,Low,Flat,Healthy,Round 3-4,Tier 1,High,4,Mixed playoff outlook,"Healthy Tier 1 QB in mid-volume passing offense, fast tempo with steady usage pattern. Mixed playoff outlook."
qb17_2025,Chris Lee,QB,LAC,8,rookie,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Healthy,Round 5-6,Tier 3,High,5,Mixed playoff outlook,"Healthy Tier 3 QB in high-volume passing offense, fast tempo with steady usage pattern. Mixed playoff outlook."
qb18_2025,Sam Foster,QB,HOU,8,rookie,Dual-threat QB who adds rushing value with low week-to-week variance,dual_threat_qb,Low,Up,Healthy,Round 3-4,Tier 2,High,12,Mixed playoff outlook,"Healthy Tier 2 QB in high-volume passing offense, fast tempo with ascending usage trend. Mixed playoff outlook."
qb19_2025,Sean Anderson,QB,DEN,8,veteran,Dual-threat QB who adds rushing value with low week-to-week variance,dual_threat_qb,Low,Down,Questionable,Round 5-6,Tier 4,High,11,Mixed playoff outlook,"Minor injury concern Tier 4 QB in mid-volume passing offense, mid tempo with declining role. Mixed playoff outlook."
qb20_2025,Derek White,QB,MIA,8,veteran,Dual-threat QB who adds rushing value with low week-to-week variance,dual_threat_qb,Low,Up,Healthy,Round 5-6,Tier 3,High,7,Friendly playoff schedule,"Healthy Tier 3 QB in low-volume passing offense, mid tempo with ascending usage trend. Friendly playoff schedule."
qb21_2025,Mason Garcia,QB,NYJ,8,veteran,Dual-threat QB who adds rushing value with mid week-to-week variance,dual_threat_qb,Mid,Flat,Healthy,Round 5-6,Tier 2,Low,12,Mixed playoff outlook,"Healthy Tier 2 QB in high-volume passing offense, mid tempo with steady usage pattern. Mixed playoff outlook."
qb22_2025,Sam Martinez,QB,SF,8,young breakout,Traditional pocket passer with mid week-to-week variance,pocket_qb,Mid,Up,Healthy,Round 3-4,Tier 2,High,10,Friendly playoff schedule,"Healthy Tier 2 QB in high-volume passing offense, fast tempo with ascending usage trend. Friendly playoff schedule."
qb23_2025,David Young,QB,NO,8,veteran,Traditional pocket passer with low week-to-week variance,pocket_qb,Low,Flat,Out,Round 5-6,Tier 3,Very High,4,Tough playoff matchups,"Out with availability unclear Tier 3 QB in high-volume passing offense, fast tempo with steady usage pattern. Tough playoff matchups."
