You are negotiating a fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), reasoning (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
RJ Harvey | RB | 11.8
Rico Dowdle | RB | 5.1
Ty Johnson | RB | 4.2
Kaleb Johnson | RB | 10.7
Woody Marks | RB | 3.3
Miles Sanders | RB | 4.0
Roschon Johnson | RB | 5.3
Javonte Williams | RB | 8.8
Tetairoa McMillan | WR | 12.4
Jaylin Noel | WR | 4.8
Joshua Palmer | WR | 7.6
DeMario Douglas | WR | 7.6
Alec Pierce | WR | 5.8
Tyler Lockett | WR | 6.0
Keon Coleman | WR | 10.0
Rashee Rice | WR | 6.7
AJ Barner | TE | 4.7
Noah Gray | TE | 5.0
Colston Loveland | TE | 7.8
George Kittle | TE | 13.2
Jalen Hurts | QB | 22.0
Tua Tagovailoa | QB | 15.5
Matthew Stafford | QB | 15.3
Cameron Ward | QB | 13.9

Team B Roster (name | pos | proj):
Kyren Williams | RB | 15.2
Bucky Irving | RB | 16.3
Derrick Henry | RB | 16.2
Cam Skattebo | RB | 7.8
Kyle Monangai | RB | 2.4
Jerome Ford | RB | 9.0
Chase Brown | RB | 15.4
D'Andre Swift | RB | 11.4
Matthew Golden | WR | 11.6
Jalen McMillan | WR | 9.2
Greg Dortch | WR | 3.9
Jalen Royals | WR | 4.1
Curtis Samuel | WR | 4.0
Mike Evans | WR | 14.6
Adam Thielen | WR | 9.0
Demarcus Robinson | WR | 4.9
Darren Waller | TE | 7.2
Hunter Henry | TE | 8.3
David Njoku | TE | 10.6
Elijah Arroyo | TE | 6.4
Patrick Mahomes II | QB | 19.9
Lamar Jackson | QB | 21.6
Jordan Love | QB | 16.3
Jayden Daniels | QB | 21.4

Task: You are the manager of Team A in a fantasy football league. Your goal is to improve your team by proposing a trade with team B. Review both rosters and propose a trade that accomplishes your goal. Provide a detailed explanation for your trade. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
