You are negotiating an NFL fantasy football trade for Team A. Strictly output a single-line JSON with keys: offer_from_A (list of names), ask_from_B (list of names), rationale (string). Names must exactly match the provided rosters. Keep the JSON minified with double quotes.

Team A Roster (name | pos | proj):
Bijan Robinson | RB | 18.5
Christian McCaffrey | RB | 18.6
Kyren Williams | RB | 15.2
Justice Hill | RB | 6.1
Tyler Allgeier | RB | 5.6
Bhayshul Tuten | RB | 4.9
Jaydon Blue | RB | 5.3
Tony Pollard | RB | 10.4
Jauan Jennings | WR | 12.2
Jalen Nailor | WR | 6.6
Zay Flowers | WR | 13.1
Jaxon Smith-Njigba | WR | 13.8
Ray-Ray McCloud III | WR | 5.1
Tetairoa McMillan | WR | 12.4
Jordan Whittington | WR | 4.9
Curtis Samuel | WR | 4.0
Evan Engram | TE | 9.7
Hunter Henry | TE | 8.3
Noah Gray | TE | 5.0
Will Dissly | TE | 4.1
Cameron Ward | QB | 13.9
Caleb Williams | QB | 16.1
Lamar Jackson | QB | 21.6
Jordan Love | QB | 16.3

Team B Roster (name | pos | proj):
Jonathan Taylor | RB | 16.2
Elijah Mitchell | RB | 2.7
Miles Sanders | RB | 4.0
Rachaad White | RB | 8.1
J.K. Dobbins | RB | 10.9
Ray Davis | RB | 5.9
Isiah Pacheco | RB | 11.5
De'Von Achane | RB | 17.1
Romeo Doubs | WR | 7.6
Diontae Johnson | WR | 5.4
Davante Adams | WR | 13.4
Ja'Marr Chase | WR | 19.5
Deebo Samuel Sr. | WR | 11.5
Jaylin Noel | WR | 4.8
Jayden Reed | WR | 11.0
Jakobi Meyers | WR | 11.5
Mike Gesicki | TE | 7.1
David Njoku | TE | 10.6
Elijah Arroyo | TE | 6.4
Kyle Pitts Sr. | TE | 8.0
Jayden Daniels | QB | 21.4
Kyler Murray | QB | 18.5
Russell Wilson | QB | 15.4
Jared Goff | QB | 16.2

Task: Propose a mutually beneficial trade. Infer what Team B might value from the rosters; do not state assumptions explicitly. You may trade any number of players. Trade must not include names outside rosters. Return JSON only, no prose.
